nameLabel,seriesLabel,platformLabel,pub_year,genreLabel,publisherLabel,developerLabel,image,website,esrbLabel,pegiLabel,bnf,musicbrainz
Mass Effect,Q16267378,Xbox 360,2012,jeu de tir à la troisième personne,Electronic Arts,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Angry Birds Star Wars,Angry Birds,PlayStation 3,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Angry Birds Star Wars,Angry Birds,Nintendo 3DS,2012,jeu vidéo de réflexion,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Mass Effect,Q16267378,Xbox 360,2012,jeu de tir à la troisième personne,Electronic Arts,Edge of Reality,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Final Fantasy VII,Final Fantasy,PlayStation,2015,jeu vidéo de rôle,Square Enix,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,PlayStation 3,2011,jeu d'action-aventure,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Assassin's Creed 2,Assassin's Creed,macOS,2011,jeu d'action-aventure,Ubisoft,Ubisoft Montréal,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,
Angry Birds Star Wars,Angry Birds,PlayStation Vita,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Wii,2011,jeu de plates-formes,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Assassin's Creed 2,Assassin's Creed,macOS,2011,jeu d'infiltration,Ubisoft,Ubisoft Montréal,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,
Mass Effect,Q16267378,PlayStation 3,2012,jeu vidéo de rôle,Microsoft Studios,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Final Fantasy VII,Final Fantasy,PlayStation 4,2015,jeu vidéo de rôle,Square,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
ZombiU,,Microsoft Windows,2012,jeu de tir en vue subjective,Ubisoft,Ubisoft Montpellier,,http://www.zombiu.com/,Mature 17+,PEGI 18,,
Half-Life 2: Episode One,Half-Life,PlayStation 3,2013,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Mass Effect,Q16267378,PlayStation 3,2012,jeu vidéo de rôle,Microsoft Studios,Edge of Reality,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Angry Birds Star Wars,Angry Birds,Windows Phone,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Mass Effect,Q16267378,PlayStation 3,2012,jeu de tir à la troisième personne,Electronic Arts,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Mass Effect,Q16267378,Xbox 360,2012,action-RPG,Microsoft Studios,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Half-Life 2: Episode One,Half-Life,Linux,2013,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Nintendo DS,2011,jeu d'action-aventure,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Mass Effect,Q16267378,Microsoft Windows,2012,jeu vidéo de rôle,Electronic Arts,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Destiny,,PlayStation 3,2014,action-RPG,Activision,Bungie Studios,,http://www.destinythegame.com/,Teen,PEGI 16,,
Mass Effect,Q16267378,Xbox 360,2012,action-RPG,Microsoft Studios,Edge of Reality,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Mass Effect,Q16267378,Microsoft Windows,2012,jeu vidéo de rôle,Electronic Arts,Edge of Reality,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
ZombiU,,Wii U,2012,jeu de tir en vue subjective,Ubisoft,Ubisoft Montpellier,,http://www.zombiu.com/,Mature 17+,PEGI 18,,
Angry Birds Star Wars,Angry Birds,iOS,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Assassin's Creed 2,Assassin's Creed,macOS,2011,monde ouvert,Ubisoft,Ubisoft Montréal,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,
Destiny,,Xbox One,2014,action-RPG,Activision,Bungie Studios,,http://www.destinythegame.com/,Teen,PEGI 16,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,PlayStation Portable,2011,jeu de plates-formes,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Microsoft Windows,2011,jeu de plates-formes,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Angry Birds Star Wars,Angry Birds,Nintendo 3DS,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Final Fantasy VII,Final Fantasy,PlayStation,2013,jeu vidéo de rôle,Square Enix,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Destiny,,PlayStation 4,2014,jeu de tir en vue subjective,Activision,Bungie Studios,,http://www.destinythegame.com/,Teen,PEGI 16,,
Destiny,,PlayStation 4,2014,jeu vidéo de rôle,Activision,Bungie Studios,,http://www.destinythegame.com/,Teen,PEGI 16,,
Mass Effect,Q16267378,PlayStation 3,2012,action-RPG,Microsoft Studios,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Angry Birds Star Wars,Angry Birds,macOS,2012,jeu vidéo de réflexion,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Angry Birds Star Wars,Angry Birds,Microsoft Windows,2012,jeu vidéo de réflexion,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Final Fantasy VII,Final Fantasy,iOS,2015,jeu vidéo de rôle,Square Enix,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Star Wars Battlefront,Star Wars: Battlefront,PlayStation 4,2015,jeu de tir en vue subjective,Electronic Arts,Digital Illusions Creative Entertainment,,http://starwars.ea.com/starwars/battlefront,,PEGI 16,,
Mass Effect,Q16267378,PlayStation 3,2012,action-RPG,Microsoft Studios,Edge of Reality,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
ZombiU,,Xbox One,2012,jeu de tir en vue subjective,Ubisoft,Ubisoft Montpellier,,http://www.zombiu.com/,Mature 17+,PEGI 18,,
Assassin's Creed 2,Assassin's Creed,Microsoft Windows,2011,jeu d'action-aventure,Ubisoft,Ubisoft Montréal,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,
Final Fantasy VII,Final Fantasy,PlayStation 4,2013,jeu vidéo de rôle,Square,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Angry Birds Star Wars,Angry Birds,Xbox One,2012,jeu vidéo de réflexion,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Xbox 360,2011,jeu d'action-aventure,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Mass Effect,Q16267378,Microsoft Windows,2012,jeu de tir à la troisième personne,Microsoft Studios,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Mass Effect,Q16267378,Microsoft Windows,2012,action-RPG,Electronic Arts,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Final Fantasy VII,Final Fantasy,Microsoft Windows,2015,jeu vidéo de rôle,Square Enix,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Assassin's Creed 2,Assassin's Creed,Microsoft Windows,2011,jeu d'infiltration,Ubisoft,Ubisoft Montréal,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,
Star Wars Battlefront,Star Wars: Battlefront,Xbox One,2015,jeu de tir à la troisième personne,Electronic Arts,Digital Illusions Creative Entertainment,,http://starwars.ea.com/starwars/battlefront,,PEGI 16,,
Mass Effect,Q16267378,Microsoft Windows,2012,action-RPG,Electronic Arts,Edge of Reality,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Lego Star Wars 3: The Clone Wars,Lego Star Wars,PlayStation 3,2011,jeu de plates-formes,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Half-Life 2: Episode One,Half-Life,Xbox 360,2013,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Star Wars Battlefront,Star Wars: Battlefront,Microsoft Windows,2015,jeu de tir à la troisième personne,Electronic Arts,Digital Illusions Creative Entertainment,,http://starwars.ea.com/starwars/battlefront,,PEGI 16,,
Final Fantasy VII,Final Fantasy,PlayStation,2015,jeu vidéo de rôle,Square,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Assassin's Creed 2,Assassin's Creed,Microsoft Windows,2011,monde ouvert,Ubisoft,Ubisoft Montréal,http://commons.wikimedia.org/wiki/Special:FilePath/Assassin%27s%20Creed%20II%20by%20Reindertot.jpg,https://www.ubisoft.com/en-us/game/assassins-creed-2,Mature 17+,PEGI 18,,
Destiny,,Xbox 360,2014,action-RPG,Activision,Bungie Studios,,http://www.destinythegame.com/,Teen,PEGI 16,,
Mass Effect,Q16267378,Xbox 360,2012,jeu vidéo de rôle,Electronic Arts,Demiurge Studios,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
VVVVVV,,Nintendo 3DS,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,macOS,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Microsoft Windows,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Linux,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Ouya,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo Switch,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,PlayStation Vita,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Pandora,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Android,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es,,,,
VVVVVV,,Nintendo 3DS,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Android,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Nintendo 3DS,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Android,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Nintendo 3DS,2011,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Nintendo 3DS,2012,jeu de plates-formes,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Ouya,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Ouya,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,PlayStation Vita,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,PlayStation Vita,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Pandora,2011,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Pandora,2012,jeu vidéo de réflexion,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Ouya,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,Ouya,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,PlayStation Vita,2011,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,PlayStation Vita,2012,jeu vidéo de réflexion,Nicalis,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,macOS,2011,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
VVVVVV,,macOS,2012,jeu de plates-formes,Valve Corporation,Terry Cavanagh,,http://thelettervsixtim.es/,,,,
